Rank	Accession	Group
1	SRR39314025 (QA5221)	Focal Clinical Isolate
2	GCA_012905885.1	ST354 Cohort Representative
3	GCA_014690305.1	ST354 Cohort Representative
4	GCA_014690645.1	ST354 Cohort Representative
5	GCA_014691585.1	ST354 Cohort Representative
6	GCA_018050285.1	ST354 Cohort Representative
7	GCA_032184565.1	ST354 Cohort Representative
8	GCA_032184605.1	ST354 Cohort Representative
9	GCA_032184625.1	ST354 Cohort Representative
10	GCA_032184645.1	ST354 Cohort Representative
11	GCA_032184665.1	ST354 Cohort Representative
12	GCA_032184685.1	ST354 Cohort Representative
13	GCA_032184705.1	ST354 Cohort Representative
14	GCA_032184725.1	ST354 Cohort Representative
15	GCA_032184745.1	ST354 Cohort Representative
16	GCA_032184765.1	ST354 Cohort Representative
17	GCA_032184785.1	ST354 Cohort Representative
18	GCA_032184805.1	ST354 Cohort Representative
19	GCA_032184815.1	ST354 Cohort Representative
20	GCA_032184845.1	ST354 Cohort Representative
21	GCA_032184865.1	ST354 Cohort Representative
22	GCA_032184885.1	ST354 Cohort Representative
23	GCA_032184905.1	ST354 Cohort Representative
24	GCA_032184925.1	ST354 Cohort Representative
25	GCA_032184945.1	ST354 Cohort Representative
26	GCA_032184965.1	ST354 Cohort Representative
27	GCA_032184985.1	ST354 Cohort Representative
28	GCA_032185025.1	ST354 Cohort Representative
29	GCF_000007445.1	Outgroup Reference Strain
30	GCF_000005845.2	Outgroup Reference Strain
31	GCF_000008865.2	Outgroup Reference Strain
32	GCF_000013445.1	Outgroup Reference Strain
33	GCA_048680385.1	Outgroup Reference Strain
34	GCA_048680405.1	Outgroup Reference Strain
35	GCA_048680445.1	Outgroup Reference Strain
36	GCA_048680505.1	Outgroup Reference Strain
37	GCA_049003195.1	Outgroup Reference Strain
